commune,code_commune,code_postal,type_local,surface_m2,pieces,valeur_fonciere,prix_m2,date_mutation
Bouguenais,44020,44340,Maison,158.0,4.0,380000.0,2405.06,2023-12-28
Bouguenais,44020,44340,Maison,167.0,5.0,620000.0,3712.57,2023-01-30
Bouguenais,44020,44340,Maison,167.0,5.0,620000.0,3712.57,2023-01-30
Bouguenais,44020,44340,Maison,182.0,7.0,450000.0,2472.53,2023-09-01
Bouguenais,44020,44340,Maison,194.0,8.0,585000.0,3015.46,2023-08-28
Bouguenais,44020,44340,Maison,194.0,8.0,585000.0,3015.46,2023-08-28
Bouguenais,44020,44340,Maison,207.0,7.0,480000.0,2318.84,2023-11-17
Bouguenais,44020,44340,Maison,207.0,7.0,480000.0,2318.84,2023-11-17
Grandchamps-des-Fontaines,44066,44119,Appartement,29.0,3.0,260000.0,8965.52,2023-01-12
Grandchamps-des-Fontaines,44066,44119,Appartement,43.0,3.0,260000.0,6046.51,2023-01-12
Grandchamps-des-Fontaines,44066,44119,Appartement,43.0,3.0,260000.0,6046.51,2023-01-12
Grandchamps-des-Fontaines,44066,44119,Appartement,55.0,3.0,220000.0,4000.0,2023-07-12
Grandchamps-des-Fontaines,44066,44119,Maison,35.0,1.0,100000.0,2857.14,2023-05-11
Grandchamps-des-Fontaines,44066,44119,Maison,40.0,2.0,118000.0,2950.0,2023-09-01
Grandchamps-des-Fontaines,44066,44119,Maison,41.0,1.0,150100.0,3660.98,2023-09-25
Grandchamps-des-Fontaines,44066,44119,Maison,41.0,1.0,150100.0,3660.98,2023-09-25
Grandchamps-des-Fontaines,44066,44119,Maison,50.0,2.0,89000.0,1780.0,2023-11-17
Grandchamps-des-Fontaines,44066,44119,Maison,52.0,3.0,200000.0,3846.15,2023-08-21
Grandchamps-des-Fontaines,44066,44119,Maison,60.0,2.0,229000.0,3816.67,2023-06-29
Grandchamps-des-Fontaines,44066,44119,Maison,72.0,3.0,194815.0,2705.76,2023-02-10
Grandchamps-des-Fontaines,44066,44119,Maison,73.0,3.0,210000.0,2876.71,2023-04-19
Grandchamps-des-Fontaines,44066,44119,Maison,73.0,3.0,272000.0,3726.03,2023-05-22
Grandchamps-des-Fontaines,44066,44119,Maison,75.0,3.0,190000.0,2533.33,2023-10-31
Grandchamps-des-Fontaines,44066,44119,Maison,79.0,4.0,340000.0,4303.8,2023-04-14
Grandchamps-des-Fontaines,44066,44119,Maison,79.0,4.0,275000.0,3481.01,2023-10-16
Grandchamps-des-Fontaines,44066,44119,Maison,80.0,4.0,235000.0,2937.5,2023-01-03
Grandchamps-des-Fontaines,44066,44119,Maison,80.0,2.0,280000.0,3500.0,2023-02-28
Grandchamps-des-Fontaines,44066,44119,Maison,80.0,4.0,279942.0,3499.28,2023-07-07
Grandchamps-des-Fontaines,44066,44119,Maison,80.0,4.0,310800.0,3885.0,2023-11-28
Grandchamps-des-Fontaines,44066,44119,Maison,83.0,4.0,89000.0,1072.29,2023-11-17
Grandchamps-des-Fontaines,44066,44119,Maison,86.0,4.0,235000.0,2732.56,2023-01-03
Grandchamps-des-Fontaines,44066,44119,Maison,86.0,4.0,382000.0,4441.86,2023-05-12
Grandchamps-des-Fontaines,44066,44119,Maison,86.0,4.0,382000.0,4441.86,2023-05-12
Grandchamps-des-Fontaines,44066,44119,Maison,87.0,4.0,300000.0,3448.28,2023-10-20
Grandchamps-des-Fontaines,44066,44119,Maison,89.0,4.0,364000.0,4089.89,2023-05-24
Grandchamps-des-Fontaines,44066,44119,Maison,90.0,4.0,260000.0,2888.89,2023-01-12
Grandchamps-des-Fontaines,44066,44119,Maison,90.0,4.0,295000.0,3277.78,2023-06-15
Grandchamps-des-Fontaines,44066,44119,Maison,90.0,5.0,255000.0,2833.33,2023-12-01
Grandchamps-des-Fontaines,44066,44119,Maison,92.0,4.0,380000.0,4130.43,2023-01-04
Grandchamps-des-Fontaines,44066,44119,Maison,92.0,4.0,350000.0,3804.35,2023-07-31
Grandchamps-des-Fontaines,44066,44119,Maison,92.0,4.0,220000.0,2391.3,2023-11-23
Grandchamps-des-Fontaines,44066,44119,Maison,94.0,4.0,360000.0,3829.79,2023-05-22
Grandchamps-des-Fontaines,44066,44119,Maison,94.0,4.0,358000.0,3808.51,2023-05-26
Grandchamps-des-Fontaines,44066,44119,Maison,95.0,4.0,350000.0,3684.21,2023-11-22
Grandchamps-des-Fontaines,44066,44119,Maison,95.0,5.0,342500.0,3605.26,2023-12-15
Grandchamps-des-Fontaines,44066,44119,Maison,97.0,4.0,320000.0,3298.97,2023-07-18
Grandchamps-des-Fontaines,44066,44119,Maison,100.0,5.0,355000.0,3550.0,2023-07-13
Grandchamps-des-Fontaines,44066,44119,Maison,100.0,5.0,374839.6,3748.4,2023-11-03
Grandchamps-des-Fontaines,44066,44119,Maison,101.0,5.0,378000.0,3742.57,2023-08-28
Grandchamps-des-Fontaines,44066,44119,Maison,101.0,5.0,378000.0,3742.57,2023-08-28
Grandchamps-des-Fontaines,44066,44119,Maison,102.0,4.0,397260.0,3894.71,2023-09-12
Grandchamps-des-Fontaines,44066,44119,Maison,105.0,5.0,360000.0,3428.57,2023-09-08
Grandchamps-des-Fontaines,44066,44119,Maison,105.0,5.0,360000.0,3428.57,2023-09-08
Grandchamps-des-Fontaines,44066,44119,Maison,106.0,6.0,375000.0,3537.74,2023-02-14
Grandchamps-des-Fontaines,44066,44119,Maison,106.0,5.0,346000.0,3264.15,2023-03-07
Grandchamps-des-Fontaines,44066,44119,Maison,106.0,6.0,238000.0,2245.28,2023-08-04
Grandchamps-des-Fontaines,44066,44119,Maison,107.0,4.0,405000.0,3785.05,2023-05-12
Grandchamps-des-Fontaines,44066,44119,Maison,112.0,4.0,395825.0,3534.15,2023-02-21
Grandchamps-des-Fontaines,44066,44119,Maison,112.0,4.0,449010.0,4009.02,2023-04-07
Grandchamps-des-Fontaines,44066,44119,Maison,112.0,5.0,512650.0,4577.23,2023-07-28
Grandchamps-des-Fontaines,44066,44119,Maison,112.0,5.0,512650.0,4577.23,2023-07-28
Grandchamps-des-Fontaines,44066,44119,Maison,112.0,4.0,336000.0,3000.0,2023-12-04
Grandchamps-des-Fontaines,44066,44119,Maison,114.0,5.0,370000.0,3245.61,2023-07-20
Grandchamps-des-Fontaines,44066,44119,Maison,116.0,5.0,520000.0,4482.76,2023-05-17
Grandchamps-des-Fontaines,44066,44119,Maison,118.0,6.0,309000.0,2618.64,2023-10-03
Grandchamps-des-Fontaines,44066,44119,Maison,118.0,5.0,400000.0,3389.83,2023-10-18
Grandchamps-des-Fontaines,44066,44119,Maison,122.0,4.0,440000.0,3606.56,2023-06-30
Grandchamps-des-Fontaines,44066,44119,Maison,123.0,5.0,365000.0,2967.48,2023-11-02
Grandchamps-des-Fontaines,44066,44119,Maison,124.0,5.0,390000.0,3145.16,2023-05-25
Grandchamps-des-Fontaines,44066,44119,Maison,124.0,4.0,471000.0,3798.39,2023-12-19
Grandchamps-des-Fontaines,44066,44119,Maison,124.0,4.0,471000.0,3798.39,2023-12-19
Grandchamps-des-Fontaines,44066,44119,Maison,128.0,6.0,372000.0,2906.25,2023-04-28
Grandchamps-des-Fontaines,44066,44119,Maison,132.0,4.0,400000.0,3030.3,2023-08-24
